district,recovered,observation,deaths,active,isolation,total_hospitalized,confirmed,hospitalized_today
Kasaragod,21724,5789,81,1714,5491,298,23523,23
Kannur,33852,19285,187,3405,18717,568,37452,51
Wayanad,12464,10389,42,2431,9717,672,14938,23
Kozhikode,75221,28820,271,5301,27600,1220,80805,77
Malappuram,80172,75337,300,5386,74332,1005,85868,66
Palakkad,40023,11816,117,5162,10976,840,45309,65
Thrissur,63416,23301,311,5854,21900,1401,69589,164
Ernakulam,68808,29693,287,7969,28259,1434,77075,92
Idukki,11690,8084,15,3347,7699,385,15054,18
Kottayam,39639,12761,138,6170,11179,1582,45949,232
Alappuzha,50308,7071,221,3472,5929,1142,54022,136
Pathanamthitta,21998,9458,43,4112,8295,1163,26155,144
Kollam,51749,14154,206,2915,13477,677,54883,99
Thiruvananthapuram,74715,24417,624,3266,23194,1223,78670,122
Total,645779,280375,2843,60504,266765,13610,709292,1312
