observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
5132,1001,Kasaragod,5432,37,1948,4131,7420,18
14468,1275,Kannur,4329,35,2146,13193,6513,129
2945,509,Wayanad,1674,5,472,2436,2151,63
19240,2622,Kozhikode,6570,44,2651,16618,9270,409
32617,2201,Malappuram,10299,39,3221,30416,13565,280
9329,1262,Palakkad,5043,12,1563,8067,6619,159
10871,1431,Thrissur,4875,29,2216,9440,7122,161
23482,1830,Ernakulam,6446,50,3112,21652,9615,204
7041,465,Idukki,1834,3,522,6576,2360,72
20171,1814,Kottayam,4273,3,2232,18357,6508,101
9768,1905,Alappuzha,6193,19,2154,7863,8368,106
6771,905,Pathanamthitta,3826,3,1118,5866,4948,47
21212,1713,Kollam,4870,31,2391,19499,7295,142
25094,3694,Thiruvananthapuram,16681,156,5413,21400,22279,433
208141,22627,Total,82345,466,31159,185514,114033,2324
