total_hospitalized,isolation,observation,hospitalized_today,district,active
105,7096,7201,9,Kasaragod,107
342,22459,22801,60,Kannur,221
45,3678,3723,5,Wayanad,40
175,19238,19413,26,Kozhikode,82
429,31931,32360,48,Malappuram,265
294,11291,11585,17,Palakkad,283
189,19133,19322,10,Thrissur,165
254,13723,13977,41,Ernakulam,191
49,4373,4422,1,Idukki,48
116,8084,8200,4,Kottayam,108
210,6816,7026,8,Alappuzha,169
190,4890,5080,9,Pathanamthitta,179
212,9670,9882,15,Kollam,173
221,22006,22227,37,Thiruvananthapuram,99
2831,184388,187219,290,Total,2130
