district,observation,total_hospitalized,isolation,hospitalized_today,active
Kasaragod,5185,347,4838,54,374
Kannur,17736,426,17310,35,417
Wayanad,3193,186,3007,12,180
Kozhikode,12156,460,11696,49,441
Malappuram,39960,737,39223,52,592
Palakkad,11190,311,10879,56,295
Thrissur,13515,331,13184,85,303
Ernakulam,13957,772,13185,72,832
Idukki,5977,267,5710,52,280
Kottayam,9222,233,8989,28,270
Alappuzha,6369,651,5718,51,646
Pathanamthitta,4925,439,4486,51,440
Kollam,8181,432,7749,90,479
Thiruvananthapuram,13667,2118,11549,184,2062
Total,165233,7710,157523,871,7611
