hospitalized_today,district,observation,recovered,active,deaths,isolation,total_hospitalized,confirmed
15,Kasaragod,4925,22071,1645,83,4667,258,23803
52,Kannur,14696,34840,3470,193,14173,523,38511
81,Wayanad,10055,13186,2590,47,9403,652,15824
81,Kozhikode,24251,77447,5374,279,23140,1111,83114
80,Malappuram,71462,82378,5177,316,70444,1018,87881
81,Palakkad,11448,41116,5352,120,10691,757,46595
170,Thrissur,22713,65328,6214,315,21431,1282,71865
102,Ernakulam,29454,71511,8026,295,28139,1315,79844
29,Idukki,8329,12607,3145,16,7960,369,15771
105,Kottayam,14363,41621,6683,141,12505,1858,48448
134,Alappuzha,7258,51216,3946,228,6138,1120,55411
137,Pathanamthitta,9480,22918,5089,46,8292,1188,28055
100,Kollam,12831,52647,4054,213,11853,978,56929
200,Thiruvananthapuram,23719,76065,3263,638,22463,1256,80033
1367,Total,264984,664951,64028,2930,251299,13685,732084
