confirmed,hospitalized_today,isolation,active,total_hospitalized,district,deaths,recovered,observation
23747,11,4975,1638,252,Kasaragod,83,22022,5227
38245,52,14947,3459,533,Kannur,190,34588,15480
15565,56,9012,2527,676,Wayanad,47,12990,9688
82526,95,24350,5268,1173,Kozhikode,274,76970,25523
87415,122,72105,5221,998,Malappuram,314,81870,73103
46292,81,10707,5249,758,Palakkad,120,40916,11465
71491,180,21615,6434,1347,Thrissur,315,64734,22962
79258,142,29202,8041,1328,Ernakulam,295,70910,30530
15557,43,7881,2985,367,Idukki,16,12553,8248
47849,166,12296,6569,1872,Kottayam,141,41136,14168
55054,199,6380,3813,1078,Alappuzha,228,50992,7458
27512,121,8311,4787,1182,Pathanamthitta,45,22678,9493
56435,224,12421,3780,964,Kollam,213,52429,13385
79741,153,22811,3384,1184,Thiruvananthapuram,633,75657,23995
726687,1645,257013,63155,13712,Total,2914,660445,270725
