total_hospitalized,observation,district,isolation,confirmed,deaths,recovered,hospitalized_today,active
274,7698,Kasaragod,7424,23017,79,21289,6,1645
524,22349,Kannur,21825,35770,180,32393,64,3191
631,11362,Wayanad,10731,13427,35,11305,48,2086
1345,36085,Kozhikode,34740,76694,245,70788,153,5652
1047,85082,Malappuram,84035,82109,276,75332,122,6491
904,13363,Palakkad,12459,42946,104,38141,93,4695
1432,24069,Thrissur,22637,65882,296,59832,177,5747
1309,30330,Ernakulam,29021,72646,269,65022,91,7344
334,8953,Idukki,8619,13957,14,10845,25,3096
1548,12049,Kottayam,10501,41880,131,36363,185,5384
1124,8101,Alappuzha,6977,51644,199,48117,105,3309
965,9666,Pathanamthitta,8701,23625,30,20593,159,3001
678,13783,Kollam,13105,52043,194,48870,66,2967
1072,27217,Thiruvananthapuram,26145,76397,595,72710,100,3032
13187,310107,Total,296920,672037,2647,611600,1394,57640
