district,observation,isolation,total_hospitalized,hospitalized_today,
Thiruvananthapuram,2414,2350,64,3,
Kollam,758,751,7,4,
Pathanamthitta,2900,2884,16,2,
Idukki,442,442,0,0,
Kottayam,1311,1304,7,0,
Alappuzha,1901,1893,8,4,
Ernakulam,1012,989,23,4,
Thrissur,2717,2684,33,8,
Palakkad,309,280,29,9,
Malappuram,3834,3821,13,6,
Kozhikode,4953,4945,8,4,
Wayanad,433,433,0,0,
Kannur,2239,2218,21,10,
Kasaragod,380,372,8,3,
Total,25603,25366,237,57,
