isolation,hospitalized_today,total_hospitalized,observation,district,active
5091,2,103,5194,Kasaragod,42
5881,10,106,5987,Kannur,48
5462,3,6,5468,Wayanad,1
8400,8,28,8428,Kozhikode,13
5704,13,23,5727,Malappuram,6
8694,8,34,8728,Palakkad,2
2706,0,8,2714,Thrissur,0
210,2,18,228,Ernakulam,2
2181,1,4,2185,Idukki,0
1069,0,0,1069,Kottayam,0
3883,1,5,3888,Alappuzha,2
1703,0,7,1710,Pathanamthitta,6
2485,1,9,2494,Kollam,5
1660,23,110,1770,Thiruvananthapuram,2
55129,72,461,55590,Total,129
