total_hospitalized,deaths,hospitalized_today,district,confirmed,recovered,observation,active,isolation
471,73,40,Kasaragod,20199,18119,6038,2003,5567
792,134,74,Kannur,28595,23825,18072,4631,17280
570,19,62,Wayanad,8503,7419,11209,1065,10639
2166,158,237,Kozhikode,57864,49570,27052,8129,24886
1232,176,208,Malappuram,59674,52677,73137,6812,71905
1152,68,120,Palakkad,31418,24605,16532,6743,15380
2200,169,258,Thrissur,49973,41126,28036,8673,25836
2035,186,224,Ernakulam,55698,45606,32020,9895,29985
444,9,29,Idukki,8968,6987,13885,1970,13441
1909,66,184,Kottayam,29137,24238,19441,4831,17532
1291,125,291,Alappuzha,40461,32058,15417,8262,14126
788,16,103,Pathanamthitta,17339,15226,10153,2096,9365
1238,139,125,Kollam,40540,34994,18507,5400,17269
2187,484,175,Thiruvananthapuram,65691,58280,27424,6880,25237
18475,1822,2130,Total,514060,434730,316923,77390,298448
