hospitalized_today,observation,total_hospitalized,district,isolation,active
70,5093,735,Kasaragod,4358,801
97,9171,583,Kannur,8588,650
42,2784,360,Wayanad,2424,307
165,14922,1316,Kozhikode,13606,1437
184,37531,1773,Malappuram,35758,2350
112,13768,888,Palakkad,12880,889
55,8891,634,Thrissur,8257,618
157,15576,1161,Ernakulam,14415,1572
139,7705,1418,Idukki,6287,229
91,9377,592,Kottayam,8785,704
26,4270,229,Alappuzha,4041,1410
31,5386,299,Pathanamthitta,5087,344
76,8537,833,Kollam,7704,657
338,22553,2812,Thiruvananthapuram,19741,4306
1583,165564,13633,Total,151931,16274
