observation,district,isolation,hospitalized_today,total_hospitalized,active
5245,Kasaragod,4288,20,957,1127
9099,Kannur,8607,106,492,503
2776,Wayanad,2407,76,369,319
14791,Kozhikode,13541,177,1250,1428
34481,Malappuram,32794,218,1687,1998
12888,Palakkad,11985,162,903,928
9960,Thrissur,9411,112,549,522
14325,Ernakulam,13168,105,1157,1370
4134,Idukki,3867,63,267,288
9584,Kottayam,9016,110,568,581
7331,Alappuzha,6046,113,1285,1267
5098,Pathanamthitta,4831,56,267,325
7837,Kollam,7154,70,683,628
22620,Thiruvananthapuram,19696,471,2924,3607
160169,Total,146811,1859,13358,14891
