recovered,confirmed,deaths,hospitalized_today,district,observation,isolation,active,total_hospitalized
20163,21981,75,12,Kasaragod,7978,7628,1739,350
29678,32847,156,61,Kannur,19740,19224,3007,516
9408,10896,24,116,Wayanad,8743,8002,1464,741
63315,69103,194,162,Kozhikode,23572,21981,5587,1591
64859,72928,231,132,Malappuram,85907,84613,7828,1294
33521,38682,82,128,Palakkad,15884,14765,5075,1119
53032,59701,249,177,Thrissur,26920,25312,6414,1608
57766,65777,227,102,Ernakulam,28913,27557,7773,1356
9512,11927,12,17,Idukki,12806,12384,2401,422
31147,36155,106,150,Kottayam,12373,10597,4900,1776
42446,47486,175,78,Alappuzha,9501,8233,4847,1268
18201,20554,18,108,Pathanamthitta,10327,9548,2334,779
43927,47898,167,95,Kollam,15848,14956,3796,892
67889,72422,554,156,Thiruvananthapuram,32099,30694,3928,1405
544864,608357,2270,1494,Total,310611,295494,61093,15117
