district,isolation,observation,deaths,recovered,active,total_hospitalized,confirmed,hospitalized_today
Kasaragod,5822,6022,90,23488,1597,200,25179,17
Kannur,12673,13046,227,39934,2858,373,43033,49
Wayanad,8509,8866,57,16669,3055,357,19782,49
Kozhikode,20649,21633,341,88658,5454,984,94471,111
Malappuram,20190,20860,364,93075,4410,670,97861,70
Palakkad,8962,9418,154,46282,4810,456,51254,46
Thrissur,23376,24332,358,75176,5266,956,80810,127
Ernakulam,22525,23902,352,84653,9348,1377,94374,124
Idukki,7054,7554,27,15005,4675,500,19711,49
Kottayam,12215,13509,170,53049,5523,1294,58747,178
Alappuzha,8204,9192,268,58293,3853,988,62435,124
Pathanamthitta,9892,10956,66,29623,7521,1064,37217,128
Kollam,10547,11207,244,59214,5868,660,65343,79
Thiruvananthapuram,20381,21583,697,82638,3258,1202,86666,157
Total,190999,202080,3415,765757,67496,11081,836883,1308
