isolation,district,hospitalized_today,recovered,active,deaths,observation,total_hospitalized,confirmed
7213,Kasaragod,6,20668,1807,77,7500,287,22556
20735,Kannur,45,31127,2971,164,21216,481,34268
9901,Wayanad,40,10130,1964,28,10695,794,12123
28495,Kozhikode,141,66942,5616,223,29989,1494,72789
84298,Malappuram,127,70212,7060,250,85513,1215,77532
13876,Palakkad,91,35858,4928,83,14920,1044,40873
22589,Thrissur,169,56103,6463,274,24317,1728,62847
24806,Ernakulam,58,60950,7647,245,26109,1303,68853
10969,Idukki,86,10113,2953,12,11335,366,13080
9610,Kottayam,169,33843,4791,119,11276,1666,38755
7765,Alappuzha,173,45784,3657,190,9034,1269,49649
9531,Pathanamthitta,114,19304,2535,19,10450,919,21859
13931,Kollam,61,46386,3363,185,14666,735,49944
31585,Thiruvananthapuram,73,70196,3712,572,32867,1282,74536
295304,Total,1353,577616,59467,2441,309887,14583,639664
