recovered,isolation,total_hospitalized,deaths,active,observation,hospitalized_today,confirmed,district
22143,4353,248,83,1662,4601,6,23892,Kasaragod
35207,12070,480,196,3509,12550,41,38920,Kannur
13457,8959,598,48,2617,9557,51,16123,Wayanad
78250,21066,1031,286,5665,22097,85,84215,Kozhikode
83346,70047,960,323,5232,71007,79,88911,Malappuram
41740,10015,703,120,5114,10718,52,46981,Palakkad
65976,20635,1275,316,6326,21910,147,72626,Thrissur
72393,28450,1231,301,8146,29681,90,80852,Ernakulam
12739,7707,385,16,3161,8092,50,15919,Idukki
42273,12501,1855,145,6786,14356,115,49207,Kottayam
51780,5804,1050,232,3868,6854,93,55901,Alappuzha
23334,8396,1122,48,5237,9518,127,28621,Pathanamthitta
53024,11578,962,215,4537,12540,65,57791,Kollam
76534,21884,1249,647,3309,23133,140,80557,Thiruvananthapuram
672196,243465,13149,2976,65169,256614,1141,740516,Total
