hospitalized_today,confirmed,deaths,isolation,observation,recovered,total_hospitalized,active,district
18,22325,75,7700,8027,20325,327,1921,Kasaragod
69,33611,159,21003,21495,30408,492,3038,Kannur
106,11589,27,8657,9495,9752,838,1810,Wayanad
156,71157,207,24761,26294,65312,1533,5630,Kozhikode
141,75407,242,84677,85994,67473,1317,7682,Malappuram
111,39931,82,13968,14995,34733,1027,5112,Palakkad
258,61531,256,25001,26740,54680,1739,6589,Thrissur
130,67436,238,28670,29997,59419,1327,7768,Ernakulam
53,12608,12,11215,11634,9842,419,2752,Idukki
176,37599,115,9513,11307,32288,1794,5194,Kottayam
121,48725,183,8077,9322,44453,1245,4071,Alappuzha
168,21333,18,9439,10365,18693,926,2621,Pathanamthitta
75,48867,180,14116,14894,45311,778,3367,Kollam
144,73648,564,32132,33470,69185,1338,3847,Thiruvananthapuram
1726,625767,2358,298929,314029,561874,15100,61402,Total
