total_hospitalized,isolation,hospitalized_today,district,observation,active
211,1951,16,Kasaragod,2162,13
51,4869,11,Kannur,4920,6
20,1332,2,Wayanad,1352,19
35,4497,17,Kozhikode,4532,6
55,6966,36,Malappuram,7021,15
33,6022,7,Palakkad,6055,7
25,4333,5,Thrissur,4358,2
38,4214,11,Ernakulam,4252,5
4,2198,1,Idukki,2202,1
5,2687,2,Kottayam,2692,2
8,2130,1,Alappuzha,2138,2
9,1864,4,Pathanamthitta,1873,2
6,2333,5,Kollam,2339,0
38,2891,4,Thiruvananthapuram,2929,0
538,48287,122,Total,48825,80
