recovered,observation,total_hospitalized,isolation,active,district,confirmed,deaths,hospitalized_today
22179,4553,241,4312,1662,Kasaragod,23929,84,8
35383,11022,459,10563,3434,Kannur,39023,198,59
13529,9641,562,9079,2705,Wayanad,16283,48,29
78667,21845,1038,20807,5645,Kozhikode,84614,287,98
83975,68676,930,67746,5104,Malappuram,89415,326,48
42041,10542,665,9877,5020,Palakkad,47190,122,41
66652,21818,1253,20565,5944,Thrissur,72920,316,122
72929,29341,1247,28094,7949,Ernakulam,81192,302,135
12788,7887,368,7519,3231,Idukki,16038,16,12
42574,13443,1681,11762,6726,Kottayam,49448,145,197
51983,6963,993,5970,3853,Alappuzha,56089,232,79
23537,9864,1131,8733,5125,Pathanamthitta,28712,48,127
53335,11607,933,10674,4400,Kollam,57965,215,79
76796,22972,1213,21759,3230,Thiruvananthapuram,80745,651,82
676368,250174,12714,237460,64028,Total,743563,2990,1116
