isolation,hospitalized_today,observation,district,total_hospitalized,active
3450,125,4329,Kasaragod,879,977
9333,62,9721,Kannur,388,423
2470,44,2883,Wayanad,413,367
12714,138,13455,Kozhikode,741,966
30800,141,31792,Malappuram,992,1098
10485,49,10939,Palakkad,454,525
11022,133,11662,Thrissur,640,605
11152,96,12391,Ernakulam,1239,1147
4005,42,4285,Idukki,280,311
8587,57,9043,Kottayam,456,483
6022,105,6924,Alappuzha,902,920
4539,41,4970,Pathanamthitta,431,450
7874,43,8511,Kollam,637,534
14149,314,17134,Thiruvananthapuram,2985,3177
136602,1390,148039,Total,11437,11983
