isolation,total_hospitalized,district,observation,hospitalized_today,active
8266,114,Kasaragod,8380,14,57
6584,122,Kannur,6706,15,47
8782,5,Wayanad,8787,1,1
12847,28,Kozhikode,12875,15,11
8670,38,Malappuram,8708,20,8
13026,33,Palakkad,13059,3,2
6933,11,Thrissur,6944,4,1
978,21,Ernakulam,999,1,4
3146,0,Idukki,3146,0,0
1782,0,Kottayam,1782,0,0
6122,9,Alappuzha,6131,2,3
4997,15,Pathanamthitta,5012,2,6
3956,11,Kollam,3967,5,5
2243,116,Thiruvananthapuram,2359,26,2
88332,523,Total,88855,108,147
