district,observation,isolation,total_hospitalized,hospitalized_today,active
Thiruvananthapuram,14302,13335,967,149,1279
Kollam,9298,9041,257,91,235
Pathanamthitta,4671,4345,326,72,339
Idukki,6122,5949,173,60,187
Kottayam,9079,8900,179,29,188
Alappuzha,6541,5952,589,21,528
Ernakulam,15296,14788,508,78,528
Thrissur,13982,13702,280,20,262
Palakkad,12500,12226,274,28,217
Malappuram,42522,41805,717,42,569
Kozhikode,15106,14761,345,50,286
Wayanad,3667,3547,120,16,107
Kannur,24568,24134,434,73,373
Kasaragod,6246,5983,263,75,274
Total,183900,178468,5432,804,5372
