active,hospitalized_today,total_hospitalized,deaths,observation,recovered,isolation,district,confirmed
1681,10,233,92,6427,23975,6194,Kasaragod,25753
3465,66,493,243,13418,41455,12925,Kannur,45180
3588,49,407,64,7165,18011,6758,Wayanad,21664
6586,115,1010,367,21749,92666,20739,Kozhikode,99639
4428,60,595,375,20444,97190,19849,Malappuram,102006
5248,62,467,166,9339,47746,8872,Palakkad,53168
5057,26,942,375,22266,78629,21324,Thrissur,84072
10831,156,1501,363,25993,90466,24492,Ernakulam,101683
5061,39,488,30,8651,16481,8163,Idukki,21577
6580,193,1376,177,15589,56551,14213,Kottayam,63314
3713,97,1079,284,11811,61448,10732,Alappuzha,65466
6606,110,1137,77,14024,34445,12887,Pathanamthitta,41135
5473,103,869,255,12441,63917,11572,Kollam,69664
3731,196,1338,719,22507,85397,21169,Thiruvananthapuram,89921
72048,1282,11935,3587,211824,808377,199889,Total,884242
