total_hospitalized,isolation,hospitalized_today,observation,district,active
231,10856,14,11087,Kasaragod,131
92,10469,13,10561,Kannur,46
10,11850,2,11860,Wayanad,3
27,21907,9,21934,Kozhikode,11
137,14042,44,14179,Malappuram,14
31,18355,6,18386,Palakkad,7
37,14996,5,15033,Thrissur,9
33,3024,2,3057,Ernakulam,14
9,4055,1,4064,Idukki,7
4,3332,1,3336,Kottayam,0
14,7752,5,7766,Alappuzha,1
16,7500,0,7516,Pathanamthitta,7
15,9417,10,9432,Kollam,6
96,8379,19,8475,Thiruvananthapuram,7
752,145934,131,146686,Total,263
