recovered,total_hospitalized,deaths,date,hospitalized_today,active,district,isolation,observation,confirmed
17048,474,71,2020-11-4,32,2045,Kasaragod,4038,4512,19168
,35,,2020-4-28,2,13,Kasaragod,1923,1958,
,62,,2020-5-28,19,63,Kasaragod,5235,5297,
,93,,2020-5-9,28,1,Kasaragod,896,989,
,272,,2020-4-9,35,136,Kasaragod,10474,10746,
22372,209,84,2020-12-30,11,1603,Kasaragod,4101,4310,24063
,94,,2020-7-5,16,114,Kasaragod,7136,7230,
,104,,2020-6-5,13,91,Kasaragod,7680,7784,
,194,,2020-7-13,58,192,Kasaragod,6161,6355,
,102,,2020-6-13,7,101,Kasaragod,9554,9656,
,106,,2020-6-24,1,108,Kasaragod,5358,5464,
,468,,2020-7-24,45,506,Kasaragod,4219,4687,
22071,258,83,2020-12-25,15,1645,Kasaragod,4667,4925,23803
12079,916,64,2020-10-16,64,3945,Kasaragod,4038,4954,16092
18490,464,73,2020-11-16,12,1897,Kasaragod,5669,6133,20464
5432,1001,37,2020-9-15,18,1948,Kasaragod,4131,5132,7420
,957,,2020-8-15,20,1127,Kasaragod,4288,5245,
2764,646,20,2020-8-22,61,1102,Kasaragod,4756,5402,3889
6507,1034,41,2020-9-22,34,2158,Kasaragod,3696,4730,8709
,8,,2020-3-18,3,1,Kasaragod,372,380,
3919,714,28,2020-9-3,46,1426,Kasaragod,5760,6474,5376
,780,,2020-8-3,110,806,Kasaragod,3264,4044,
,119,,2020-7-8,14,111,Kasaragod,6709,6828,
,100,,2020-6-8,3,99,Kasaragod,8302,8402,
,120,,2020-6-29,9,114,Kasaragod,6588,6708,
,651,,2020-7-29,34,655,Kasaragod,3149,3800,
,186,,2020-5-12,21,4,Kasaragod,963,1149,
,248,,2020-4-12,9,97,Kasaragod,10126,10374,
,36,,2020-4-25,3,15,Kasaragod,2339,2375,
,29,,2020-5-25,2,34,Kasaragod,4626,4655,
,25,,2020-5-4,1,3,Kasaragod,1346,1371,
21513,255,80,2020-12-17,9,1592,Kasaragod,5818,6073,23189
,195,,2020-4-4,35,123,Kasaragod,10360,10555,
14723,820,66,2020-10-24,41,2900,Kasaragod,4116,4936,17693
19529,329,75,2020-11-24,8,1660,Kasaragod,6628,6957,21268
22523,214,85,2021-1-2,5,1710,Kasaragod,3763,3977,24322
23975,233,92,2021-1-23,10,1681,Kasaragod,6194,6427,25753
23341,196,89,2021-1-14,16,1556,Kasaragod,5824,6020,24990
20887,267,78,2020-12-9,16,1718,Kasaragod,6934,7201,22687
,112,,2020-6-30,4,116,Kasaragod,6817,6929,
,650,,2020-7-30,34,675,Kasaragod,2988,3638,
21693,277,81,2020-12-20,10,1702,Kasaragod,5746,6023,23480
4179,838,31,2020-9-6,131,1893,Kasaragod,5266,6104,6106
11160,1187,64,2020-10-13,51,4095,Kasaragod,3721,4908,15323
,879,,2020-8-6,125,977,Kasaragod,3450,4329,
18119,471,73,2020-11-13,40,2003,Kasaragod,5567,6038,20199
3110,763,23,2020-8-27,72,1387,Kasaragod,4769,5532,4523
7361,878,48,2020-9-27,77,2476,Kasaragod,3565,4443,9889
4634,1210,36,2020-9-10,117,2143,Kasaragod,4958,6168,6816
,966,,2020-8-10,40,1127,Kasaragod,3735,4701,
17489,434,71,2020-11-8,5,2149,Kasaragod,4340,4774,19713
9143,1344,60,2020-10-8,134,4351,Kasaragod,4014,5358,13558
23205,219,88,2021-1-11,16,1563,Kasaragod,4884,5103,24860
24214,231,93,2021-1-26,8,1692,Kasaragod,5794,6025,26004
22897,198,87,2021-1-7,18,1623,Kasaragod,3903,4101,24611
21186,281,78,2020-12-12,22,1660,Kasaragod,7370,7651,22928
13770,784,65,2020-10-21,29,3249,Kasaragod,3888,4672,17088
19243,388,74,2020-11-21,21,1735,Kasaragod,6293,6681,21056
,26,,2020-5-1,3,5,Kasaragod,1892,1918,
,177,,2020-4-1,17,110,Kasaragod,8786,8963,
,54,,2020-4-20,6,25,Kasaragod,4700,4754,
,32,,2020-5-20,1,15,Kasaragod,3691,3723,
,275,,2020-5-17,20,14,Kasaragod,2849,3124,
,112,,2020-4-17,9,51,Kasaragod,7789,7901,
,103,,2020-3-27,3,76,Kasaragod,5854,5957,
,1,,2020-3-10,0,0,Kasaragod,104,105,
,81,,2020-5-31,1,76,Kasaragod,5854,5935,
,0,,2020-3-6,0,0,Kasaragod,46,46,
22216,247,84,2020-12-29,6,1684,Kasaragod,4101,4348,23988
,96,,2020-6-21,6,100,Kasaragod,4633,4729,
,373,,2020-7-21,28,405,Kasaragod,4736,5109,
,263,,2020-7-16,75,274,Kasaragod,5983,6246,
,102,,2020-6-16,3,93,Kasaragod,3426,3528,
8018,1077,56,2020-10-1,96,3178,Kasaragod,3354,4431,11256
16458,496,69,2020-11-1,44,2250,Kasaragod,4183,4679,18781
