recovered,total_hospitalized,deaths,date,hospitalized_today,active,district,isolation,observation,confirmed
5321,1665,36,2020-9-7,206,1483,Kozhikode,13885,15550,6845
10102,3272,61,2020-9-26,374,4998,Kozhikode,19807,23079,15166
3059,1532,26,2020-8-26,220,1502,Kozhikode,13638,15170,4592
,1053,,2020-8-11,187,1259,Kozhikode,13156,14209,
5837,2064,39,2020-9-11,273,2062,Kozhikode,14860,16924,7943
36959,2779,126,2020-10-29,286,9212,Kozhikode,24444,27223,46303
61812,1636,188,2020-11-29,196,6099,Kozhikode,21837,23473,68106
63315,1591,194,2020-12-1,162,5587,Kozhikode,21981,23572,69103
,47,,2020-5-21,22,14,Kozhikode,6901,6948,
,27,,2020-4-21,9,9,Kozhikode,5176,5203,
,28,,2020-4-16,15,11,Kozhikode,12847,12875,
,33,,2020-5-16,10,9,Kozhikode,5130,5163,
78667,1038,287,2020-12-28,98,5645,Kozhikode,20807,21845,84614
86256,870,320,2021-1-10,75,4988,Kozhikode,20396,21266,91580
94718,982,376,2021-1-27,82,6951,Kozhikode,20846,21828,102065
84092,882,308,2021-1-6,84,5059,Kozhikode,19513,20395,89474
17312,3621,85,2020-10-9,516,10585,Kozhikode,28196,31817,27988
46369,2431,149,2020-11-9,186,8207,Kozhikode,24918,27349,54732
,47,,2020-3-26,6,8,Kozhikode,10277,10324,
,103,,2020-5-30,22,38,Kozhikode,10753,10856,
,42,,2020-4-30,15,4,Kozhikode,1181,1223,
,10,,2020-3-11,5,0,Kozhikode,291,301,
,5,,2020-3-7,1,0,Kozhikode,28,33,
55120,1672,173,2020-11-20,223,6971,Kozhikode,23152,24824,62271
28749,3262,115,2020-10-20,301,10018,Kozhikode,27568,30830,38888
70378,1411,237,2020-12-13,203,5851,Kozhikode,34579,35990,76475
67363,1435,227,2020-12-8,145,5642,Kozhikode,29215,30650,73240
102351,762,411,2021-2-7,95,6463,Kozhikode,22908,23670,109246
105053,748,421,2021-2-11,81,5896,Kozhikode,24424,25172,111392
48789,2309,158,2020-11-12,248,8111,Kozhikode,24932,27241,57065
20537,3775,90,2020-10-12,414,10767,Kozhikode,28335,32110,31400
75221,1220,271,2020-12-21,77,5301,Kozhikode,27600,28820,80805
,460,,2020-7-20,49,441,Kozhikode,11696,12156,
,209,,2020-6-20,42,104,Kozhikode,13489,13698,
,218,,2020-6-17,34,94,Kozhikode,11457,11675,
,364,,2020-7-17,66,311,Kozhikode,14272,14636,
,110,,2020-6-1,18,42,Kozhikode,11750,11860,
,175,,2020-7-1,26,82,Kozhikode,19238,19413,
,1312,,2020-8-19,116,1338,Kozhikode,13408,14720,
58728,1684,181,2020-11-25,187,6565,Kozhikode,21619,23303,65481
,2,,2020-3-2,0,0,Kozhikode,7,9,
33263,3115,122,2020-10-25,373,9977,Kozhikode,26669,29784,43368
7692,3048,47,2020-9-19,348,3355,Kozhikode,18065,21113,11099
72063,1226,252,2020-12-16,117,5287,Kozhikode,32392,33618,77612
,18,,2020-3-14,16,0,Kozhikode,1819,1837,
,38,,2020-3-23,12,3,Kozhikode,8370,8408,
,102,,2020-5-29,36,35,Kozhikode,10309,10411,
,48,,2020-4-29,6,5,Kozhikode,1077,1125,
,24,,2020-4-8,9,9,Kozhikode,20025,20049,
,17,,2020-5-8,6,0,Kozhikode,2063,2080,
52672,1776,162,2020-11-17,147,7353,Kozhikode,24287,26063,60194
,125,,2020-6-4,31,55,Kozhikode,14234,14359,
25505,3570,109,2020-10-17,385,10714,Kozhikode,27971,31541,36334
,254,,2020-7-4,59,120,Kozhikode,17318,17572,
76970,1173,274,2020-12-24,95,5268,Kozhikode,24350,25523,82526
,191,,2020-6-12,32,80,Kozhikode,19725,19916,
,270,,2020-7-12,49,172,Kozhikode,15105,15375,
,568,,2020-7-25,101,573,Kozhikode,10957,11525,
,187,,2020-6-25,36,82,Kozhikode,16237,16424,
90026,963,352,2021-1-18,77,5859,Kozhikode,21221,22184,96255
106878,713,424,2021-2-14,76,5815,Kozhikode,26015,26728,113139
98672,848,394,2021-2-2,78,6677,Kozhikode,21523,22371,105764
,1210,,2020-8-14,283,1326,Kozhikode,13540,14750,
6264,2548,43,2020-9-14,367,2698,Kozhikode,16271,18819,9010
80744,1008,293,2020-12-31,87,5227,Kozhikode,20025,21033,86279
8908,3264,59,2020-9-23,428,3937,Kozhikode,18262,21526,12909
2639,1259,25,2020-8-23,240,1367,Kozhikode,13705,14964,4036
,789,,2020-8-2,123,762,Kozhikode,11091,11880,
4127,1820,31,2020-9-2,212,1773,Kozhikode,13018,14838,5936
,10,,2020-3-19,8,0,Kozhikode,5652,5662,
43369,24349,147,2020-11-5,305,8421,Kozhikode,2572,26921,51944
14147,3598,76,2020-10-5,397,9554,Kozhikode,25193,28791,23783
82479,880,302,2021-1-3,93,5042,Kozhikode,19830,20710,87838
88658,984,341,2021-1-15,111,5454,Kozhikode,20649,21633,94471
37918,2498,131,2020-10-30,290,8970,Kozhikode,24240,26738,47025
,155,,2020-6-9,41,78,Kozhikode,17335,17490,
,300,,2020-7-9,44,154,Kozhikode,16472,16772,
62725,1610,190,2020-11-30,136,5665,Kozhikode,21853,23463,68587
65312,1533,207,2020-12-4,156,5630,Kozhikode,24761,26294,71157
,868,,2020-7-28,257,712,Kozhikode,10302,11170,
,168,,2020-6-28,43,88,Kozhikode,18556,18724,
,28,,2020-4-13,6,8,Kozhikode,17379,17407,
,24,,2020-5-13,13,2,Kozhikode,3847,3871,
,59,,2020-5-24,15,22,Kozhikode,8254,8313,
,48,,2020-4-24,17,14,Kozhikode,1632,1680,
,35,,2020-4-5,13,11,Kozhikode,21899,21934,
,18,,2020-5-5,11,0,Kozhikode,1032,1050,
78173,1092,296,2020-12-18,67,5444,Malappuram,78437,79529,83923
101446,465,385,2021-2-1,90,3947,Malappuram,20469,20934,105792
6611,1980,24,2020-8-31,239,2761,Malappuram,45302,47282,9402
17875,2358,73,2020-10-2,246,6573,Malappuram,39327,41685,24527
,312,,2020-6-7,49,147,Malappuram,17946,18258,
43938,1602,150,2020-11-2,186,8792,Malappuram,58751,60353,52888
,469,,2020-7-7,44,356,Malappuram,38578,39047,
,664,,2020-7-26,72,525,Malappuram,35535,36199,
,329,,2020-6-26,34,191,Malappuram,24892,25221,
,366,,2020-6-11,42,185,Malappuram,19886,20252,
,628,,2020-7-11,69,494,Malappuram,40420,41048,
100542,459,384,2021-1-30,61,3854,Malappuram,20164,20623,104794
56383,1162,203,2020-11-19,143,6951,Malappuram,76168,77330,63546
31441,1820,118,2020-10-19,212,11008,Malappuram,49295,51115,42575
66677,1256,235,2020-12-3,118,7542,Malappuram,83312,84568,74464
,1,,2020-3-1,4,0,Malappuram,1,2,
,7,,2020-3-20,3,2,Malappuram,6232,6239,
,18,,2020-3-17,7,2,Malappuram,2154,2172,
34097,1759,128,2020-10-22,179,10693,Malappuram,53919,55678,44926
58648,1299,209,2020-11-22,128,7294,Malappuram,81575,82874,66160
73013,1064,266,2020-12-11,142,6965,Malappuram,85015,86079,80254
,144,,2020-5-27,59,44,Malappuram,11779,11923,
,44,,2020-4-27,23,1,Malappuram,1766,1810,
,102,,2020-3-31,24,9,Malappuram,12540,12642,
,84,,2020-4-10,41,16,Malappuram,14207,14291,
,36,,2020-5-10,29,1,Malappuram,1445,1481,
,168,,2020-4-6,11,13,Malappuram,16285,16453,
,14,,2020-5-6,8,0,Malappuram,827,841,
93531,647,364,2021-1-16,65,4443,Malappuram,20130,20777,98350
96013,658,372,2021-1-21,130,4491,Malappuram,19571,20229,100889
11749,2642,48,2020-9-20,284,3725,Malappuram,32082,34724,15528
3506,1794,13,2020-8-20,251,2709,Malappuram,38521,40315,6232
,1802,,2020-8-17,184,2305,Malappuram,34431,36233,
10770,2444,42,2020-9-17,324,3396,Malappuram,31482,33926,14214
24118,1964,95,2020-10-10,206,8712,Malappuram,48884,50848,32932
50925,1263,170,2020-11-10,163,6838,Malappuram,70473,71736,57942
81451,976,312,2020-12-23,103,5160,Malappuram,72942,73918,86933
,817,,2020-8-1,73,825,Malappuram,31730,32547,
6897,1848,24,2020-9-1,145,2666,Malappuram,45272,47120,9593
106396,483,392,2021-2-9,107,3196,Malappuram,23395,23878,109998
97760,619,376,2021-1-24,124,4260,Malappuram,19994,20613,102409
92376,667,362,2021-1-13,115,4633,Malappuram,20857,21524,97383
88256,742,347,2021-1-5,92,4610,Malappuram,20234,20976,93224
,329,,2020-6-19,17,226,Malappuram,15421,15750,
,702,,2020-7-19,32,577,Malappuram,40228,40930,
,100,,2020-4-3,59,11,Malappuram,14694,14794,
37675,1699,137,2020-10-27,204,11412,Malappuram,56027,57726,49232
61948,1403,220,2020-11-27,114,7852,Malappuram,83789,85192,70030
,28,,2020-5-3,7,2,Malappuram,1563,1591,
75332,1047,276,2020-12-14,122,6491,Malappuram,84035,85082,82109
,22,,2020-4-15,12,9,Malappuram,10309,10331,
,55,,2020-5-15,36,15,Malappuram,6966,7021,
,119,,2020-5-22,50,36,Malappuram,9942,10061,
,30,,2020-4-22,24,6,Malappuram,4096,4126,
29393,2068,109,2020-10-15,205,8212,Malappuram,47164,49232,37722
54019,1163,185,2020-11-15,138,6692,Malappuram,76855,78018,60905
82843,981,319,2020-12-26,63,5222,Malappuram,69574,70555,88394
,924,,2020-8-4,83,985,Malappuram,30288,31212,
8051,1553,26,2020-9-4,93,1925,Malappuram,46731,48284,10008
,80,,2020-3-28,19,8,Malappuram,11445,11525,
,1494,,2020-8-12,208,1726,Malappuram,32297,33791,
9533,1951,35,2020-9-12,294,2783,Malappuram,34759,36710,12357
,24,,2020-3-9,20,0,Malappuram,52,76,
14176,2362,61,2020-9-25,313,4137,Malappuram,29356,31718,18380
4521,2147,21,2020-8-25,189,3224,Malappuram,40788,42935,7771
,40,,2020-4-18,19,7,Malappuram,6644,6684,
,93,,2020-5-18,33,22,Malappuram,8765,8858,
21272,2145,90,2020-10-7,229,7733,Malappuram,44870,47015,29102
48914,1430,165,2020-11-7,194,7081,Malappuram,68095,69525,56169
,418,,2020-6-14,34,204,Malappuram,21747,22165,
,727,,2020-7-14,71,589,Malappuram,41509,42236,
,780,,2020-7-23,56,671,Malappuram,36861,37641,
,345,,2020-6-23,44,197,Malappuram,21068,21413,
,220,,2020-6-2,44,79,Malappuram,14474,14694,
,502,,2020-7-2,73,226,Malappuram,33352,33854,
100120,498,383,2021-1-29,74,3854,Malappuram,20207,20705,104371
89791,647,354,2021-1-8,79,4354,Malappuram,21200,21847,94510
103244,486,388,2021-2-4,122,3472,Malappuram,20512,20998,107118
107727,493,393,2021-2-12,113,3226,Malappuram,23747,24240,111361
,1056,,2020-8-9,185,1191,Malappuram,30838,31894,
,29,,2020-3-12,13,0,Malappuram,103,132,
9102,1613,26,2020-9-9,258,2193,Malappuram,40671,42284,11327
,55,,2020-3-25,44,5,Malappuram,10460,10515,
,6,,2020-3-4,0,0,Malappuram,38,44,
15482,2560,67,2020-9-28,356,4971,Malappuram,34129,36689,20526
5658,2188,23,2020-8-28,290,2964,Malappuram,43220,45408,8651
69348,1242,247,2020-12-6,102,7386,Malappuram,86196,87438,76991
11035,2474,45,2020-9-18,345,3425,Malappuram,30480,32954,14511
,2,,2020-3-3,0,0,Malappuram,32,34,
,1773,,2020-8-18,184,2350,Malappuram,35758,37531,
,17,,2020-3-15,7,0,Malappuram,225,242,
,11,,2020-3-22,7,4,Malappuram,7383,7394,
68496,1244,244,2020-12-5,158,7577,Malappuram,86389,87633,76327
42103,1618,148,2020-10-31,213,9640,Malappuram,58464,60082,51899
94901,598,368,2021-1-19,95,4414,Malappuram,20319,20917,99695
109210,455,397,2021-2-15,80,3237,Malappuram,24295,24750,112859
102520,464,387,2021-2-3,98,3708,Malappuram,20573,21037,106629
19231,2233,79,2020-10-4,202,6976,Malappuram,42207,44440,26292
45538,1557,154,2020-11-4,181,8438,Malappuram,63455,65012,54139
,70,,2020-4-28,60,1,Malappuram,1797,1867,
,153,,2020-5-28,40,52,Malappuram,12295,12448,
,41,,2020-5-9,35,0,Malappuram,1200,1241,
,83,,2020-4-9,26,14,Malappuram,13984,14067,
85059,878,333,2020-12-30,62,5030,Malappuram,66905,67783,90432
,485,,2020-7-5,60,278,Malappuram,36088,36573,
,275,,2020-6-5,52,107,Malappuram,17029,17304,
,680,,2020-7-13,49,540,Malappuram,41037,41717,
,387,,2020-6-13,39,205,Malappuram,21250,21637,
,341,,2020-6-24,25,199,Malappuram,22169,22510,
,845,,2020-7-24,111,707,Malappuram,36709,37554,
82378,1018,316,2020-12-25,80,5177,Malappuram,70444,71462,87881
29825,2009,109,2020-10-16,144,8805,Malappuram,46083,48092,38747
54703,1145,186,2020-11-16,232,6503,Malappuram,73912,75057,61401
10299,2201,39,2020-9-15,280,3221,Malappuram,30416,32617,13565
,1687,,2020-8-15,218,1998,Malappuram,32794,34481,
4065,2024,18,2020-8-22,301,2874,Malappuram,39515,41539,6962
12703,2440,58,2020-9-22,295,3554,Malappuram,33273,35713,16321
,13,,2020-3-18,6,2,Malappuram,3821,3834,
7424,1670,24,2020-9-3,122,2376,Malappuram,45296,46966,9830
,924,,2020-8-3,151,952,Malappuram,31639,32563,
,525,,2020-7-8,71,389,Malappuram,38911,39436,
,350,,2020-6-8,47,163,Malappuram,18179,18529,
,354,,2020-6-29,22,235,Malappuram,29506,29860,
,765,,2020-7-29,105,639,Malappuram,33944,34709,
,37,,2020-5-12,31,4,Malappuram,2057,2094,
,210,,2020-4-12,68,10,Malappuram,13059,13269,
,31,,2020-4-25,16,2,Malappuram,1894,1925,
,157,,2020-5-25,36,48,Malappuram,11172,11329,
,21,,2020-5-4,10,0,Malappuram,1640,1661,
77509,1125,291,2020-12-17,158,5628,Malappuram,79785,80910,83438
,126,,2020-4-4,48,11,Malappuram,16396,16522,
34628,1662,129,2020-10-24,108,12255,Malappuram,54572,56234,47020
59792,1346,211,2020-11-24,199,8023,Malappuram,82753,84099,68035
86543,971,343,2021-1-2,95,5015,Malappuram,64494,65465,91911
97190,595,375,2021-1-23,60,4428,Malappuram,19849,20444,102006
91929,607,361,2021-1-14,607,4672,Malappuram,20687,21294,96974
71543,1189,257,2020-12-9,103,7125,Malappuram,84589,85778,78935
,387,,2020-6-30,42,244,Malappuram,30709,31096,
,820,,2020-7-30,78,657,Malappuram,32949,33769,
79478,1039,299,2020-12-20,91,5455,Malappuram,77582,78621,85242
8591,1431,26,2020-9-6,149,1958,Malappuram,46711,48142,10581
26864,2066,103,2020-10-13,182,9288,Malappuram,49789,51855,36262
,992,,2020-8-6,141,1098,Malappuram,30800,31792,
52677,1232,176,2020-11-13,208,6812,Malappuram,71905,73137,59674
5313,2240,21,2020-8-27,255,3014,Malappuram,43103,45343,8353
15061,2370,64,2020-9-27,318,4990,Malappuram,32017,34387,20121
9221,1728,33,2020-9-10,258,2397,Malappuram,40890,42618,11657
,1065,,2020-8-10,197,1389,Malappuram,31471,32536,
49820,1242,168,2020-11-8,186,6712,Malappuram,69873,71115,56709
22148,2078,90,2020-10-8,243,7881,Malappuram,45126,47204,30126
91237,645,357,2021-1-11,90,4257,Malappuram,21194,21839,95862
98404,558,380,2021-1-26,57,4343,Malappuram,20041,20599,103140
89222,668,352,2021-1-7,60,4506,Malappuram,20669,21337,94091
73624,1030,270,2020-12-12,66,7115,Malappuram,85901,86931,81019
33366,1731,123,2020-10-21,135,10532,Malappuram,53054,54785,44029
57863,1242,206,2020-11-21,154,7286,Malappuram,79533,80775,65364
,15,,2020-5-1,12,2,Malappuram,1523,1538,
,59,,2020-4-1,20,11,Malappuram,12721,12780,
,30,,2020-4-20,7,6,Malappuram,5683,5713,
,122,,2020-5-20,46,30,Malappuram,9054,9176,
,100,,2020-5-17,51,21,Malappuram,8324,8424,
,41,,2020-4-17,13,7,Malappuram,7792,7833,
,90,,2020-3-27,24,7,Malappuram,11256,11346,
,45,,2020-3-10,21,0,Malappuram,30,75,
,217,,2020-5-31,44,57,Malappuram,13580,13797,
,5,,2020-3-6,0,0,Malappuram,50,55,
84450,938,332,2020-12-29,108,5233,Malappuram,67578,68516,90025
,342,,2020-6-21,46,210,Malappuram,18494,18836,
,708,,2020-7-21,45,599,Malappuram,38690,39398,
,717,,2020-7-16,42,569,Malappuram,41805,42522,
,385,,2020-6-16,29,210,Malappuram,12658,13043,
16924,2403,73,2020-10-1,167,6508,Malappuram,38231,40634,23511
42993,1607,149,2020-11-1,218,9271,Malappuram,58599,60206,52421
104353,497,391,2021-2-6,122,3617,Malappuram,21032,21529,108375
62714,1399,224,2020-11-28,116,7762,Malappuram,84915,86314,70710
106714,498,393,2021-2-10,115,3298,Malappuram,23376,23874,110419
38703,1791,138,2020-10-28,206,10931,Malappuram,57587,59378,49780
,683,,2020-7-18,25,551,Malappuram,40847,41530,
,373,,2020-6-18,16,223,Malappuram,14056,14429,
70212,1215,250,2020-12-7,127,7060,Malappuram,84298,85513,77532
,28,,2020-5-2,19,2,Malappuram,1582,1610,
,63,,2020-4-2,25,11,Malappuram,13873,13936,
,64,,2020-5-14,45,11,Malappuram,3038,3102,
,23,,2020-4-14,11,9,Malappuram,12166,12189,
,70,,2020-4-23,42,5,Malappuram,2395,2465,
,112,,2020-5-23,46,44,Malappuram,10510,10622,
105751,476,391,2021-2-8,72,3393,Malappuram,22436,22912,109549
98143,601,379,2021-1-25,82,4094,Malappuram,19899,20500,102629
91534,656,359,2021-1-12,105,4358,Malappuram,21096,21752,96262
87761,830,347,2021-1-4,98,4721,Malappuram,60509,61339,92839
47571,2490,162,2020-11-6,256,7785,Malappuram,24036,26526,55527
8389,1400,26,2020-9-5,181,1836,Malappuram,47252,48652,10257
20529,2172,85,2020-10-6,203,7131,Malappuram,43551,45723,27752
,961,,2020-8-5,138,1079,Malappuram,30610,31571,
,82,,2020-3-29,25,9,Malappuram,11543,11625,
,15,,2020-3-8,3,0,Malappuram,33,48,
9735,2092,35,2020-9-13,344,2959,Malappuram,31703,33795,12735
,1671,,2020-8-13,282,1865,Malappuram,32023,33694,
4281,2262,19,2020-8-24,255,3012,Malappuram,40773,43035,7317
13588,2565,60,2020-9-24,303,3942,Malappuram,27791,30356,17596
99321,524,382,2021-1-28,66,4241,Malappuram,20142,20666,103957
90269,631,354,2021-1-9,70,4399,Malappuram,21444,22075,95033
103782,475,390,2021-2-5,89,3537,Malappuram,20489,20964,107723
108246,486,395,2021-2-13,93,3013,Malappuram,24028,24514,111669
,75,,2020-5-19,36,26,Malappuram,9225,9300,
,23,,2020-4-19,13,6,Malappuram,5704,5727,
,743,,2020-7-15,54,563,Malappuram,41885,42628,
,395,,2020-6-15,52,202,Malappuram,12763,13158,
,339,,2020-6-22,14,201,Malappuram,19550,19889,
,770,,2020-7-22,82,613,Malappuram,38358,39128,
,462,,2020-7-3,56,248,Malappuram,34342,34804,
,255,,2020-6-3,65,90,Malappuram,15736,15991,
83346,960,323,2020-12-27,79,5232,Malappuram,70047,71007,88911
53294,1214,182,2020-11-14,184,6862,Malappuram,75276,76490,60347
28383,2095,109,2020-10-14,214,8776,Malappuram,47793,49888,37275
8952,1491,26,2020-9-8,287,2142,Malappuram,40740,42231,11126
,30,,2020-3-13,1,0,Malappuram,135,165,
,1060,,2020-8-8,144,1134,Malappuram,30797,31857,
,29,,2020-3-24,18,5,Malappuram,9869,9898,
,6,,2020-3-5,0,0,Malappuram,44,50,
76046,1125,281,2020-12-15,178,6149,Malappuram,81844,82969,82486
61169,1417,216,2020-11-26,132,8023,Malappuram,84714,86131,69418
6030,2021,24,2020-8-29,249,2970,Malappuram,44174,46195,9030
16001,2447,71,2020-9-29,231,5488,Malappuram,36090,38537,21566
36682,1783,136,2020-10-26,212,11700,Malappuram,55613,57396,48526
80881,973,308,2020-12-22,68,5234,Malappuram,73910,74883,86433
51586,1347,172,2020-11-11,184,6702,Malappuram,69378,70725,58469
25177,2043,100,2020-10-11,267,9099,Malappuram,50804,52847,34383
6358,1997,24,2020-8-30,310,2837,Malappuram,45026,47023,9225
16602,2453,73,2020-9-30,216,5862,Malappuram,36830,39283,22543
,429,,2020-7-6,51,301,Malappuram,37313,37742,
,266,,2020-6-6,50,120,Malappuram,17516,17782,
,348,,2020-6-27,34,218,Malappuram,26639,26987,
,649,,2020-7-27,107,523,Malappuram,35796,36445,
,609,,2020-7-10,49,458,Malappuram,39752,40361,
,324,,2020-6-10,19,176,Malappuram,19070,19394,
109780,477,401,2021-2-16,122,3008,Malappuram,24356,24833,113204
,10,,2020-3-21,6,2,Malappuram,7008,7018,
,21,,2020-3-16,7,2,Malappuram,955,976,
72223,1144,260,2020-12-10,107,7142,Malappuram,84301,85445,79635
59175,1308,210,2020-11-23,109,7789,Malappuram,81182,82490,67183
34421,1697,128,2020-10-23,211,11744,Malappuram,53632,55329,46301
100929,475,384,2021-1-31,116,3949,Malappuram,20400,20875,105276
86086,891,341,2021-1-1,91,4894,Malappuram,65640,66531,91331
31143,1935,116,2020-10-18,188,10398,Malappuram,47098,49033,41665
94046,615,364,2021-1-17,50,4407,Malappuram,20287,20902,98829
55861,1169,195,2020-11-18,186,6619,Malappuram,75990,77159,62684
95441,648,371,2021-1-20,120,4408,Malappuram,19739,20387,100232
,41,,2020-4-26,21,1,Malappuram,1772,1813,
,125,,2020-5-26,26,51,Malappuram,11491,11616,
,18,,2020-5-11,13,2,Malappuram,1942,1960,
,199,,2020-4-11,123,16,Malappuram,13789,13988,
,105,,2020-3-30,26,9,Malappuram,11994,12099,
,49,,2020-5-7,45,0,Malappuram,968,1017,
,137,,2020-4-7,44,14,Malappuram,14042,14179,
65913,1272,232,2020-12-2,122,7595,Malappuram,83887,85159,73750
78837,1037,296,2020-12-19,54,5437,Malappuram,78647,79684,84580
44883,1567,151,2020-11-3,158,8312,Malappuram,60910,62477,53355
18516,2364,73,2020-10-3,258,6905,Malappuram,39736,42100,25500
3825,1953,17,2020-8-21,322,2720,Malappuram,38629,40582,6567
12235,2489,56,2020-9-21,294,3580,Malappuram,32440,34929,15877
10556,2336,41,2020-9-16,250,3260,Malappuram,30515,32851,13863
,1766,,2020-8-16,273,2137,Malappuram,32924,34690,
,834,,2020-7-31,133,720,Malappuram,32613,33447,
,1075,,2020-8-7,180,1187,Malappuram,31425,32500,
8793,1458,26,2020-9-7,201,1943,Malappuram,45528,46986,10768
14662,2303,64,2020-9-26,288,4474,Malappuram,30773,33076,19206
4775,2262,21,2020-8-26,213,3322,Malappuram,42315,44577,8123
,1340,,2020-8-11,281,1578,Malappuram,31618,32958,
9332,1866,34,2020-9-11,249,2675,Malappuram,37244,39110,12047
40003,1703,143,2020-10-29,233,10215,Malappuram,59453,61156,50369
63490,1359,227,2020-11-29,140,7704,Malappuram,84483,85842,71431
64859,1294,231,2020-12-1,132,7828,Malappuram,84613,85907,72928
,74,,2020-5-21,33,35,Malappuram,9530,9604,
,25,,2020-4-21,13,6,Malappuram,4631,4656,
,38,,2020-4-16,20,8,Malappuram,8670,8708,
,78,,2020-5-16,46,17,Malappuram,7899,7977,
83975,930,326,2020-12-28,48,5104,Malappuram,67746,68676,89415
90780,635,357,2021-1-10,75,4326,Malappuram,21288,21923,95474
98934,558,382,2021-1-27,100,4215,Malappuram,20145,20703,103544
88677,708,350,2021-1-6,66,4618,Malappuram,20428,21136,93656
23057,2010,94,2020-10-9,251,8142,Malappuram,46478,48488,31300
50380,1256,169,2020-11-9,186,6699,Malappuram,70370,71626,57257
,75,,2020-3-26,20,8,Malappuram,11160,11235,
,202,,2020-5-30,53,57,Malappuram,13257,13459,
,17,,2020-4-30,12,2,Malappuram,1507,1524,
,61,,2020-3-11,21,0,Malappuram,32,93,
,11,,2020-3-7,15,0,Malappuram,30,41,
57123,1244,204,2020-11-20,152,7264,Malappuram,77618,78862,64600
32534,1799,123,2020-10-20,189,10696,Malappuram,52650,54449,43361
74510,1069,275,2020-12-13,139,6873,Malappuram,85725,86794,81668
70931,1192,250,2020-12-8,123,7035,Malappuram,84580,85772,78226
105023,504,391,2021-2-7,107,3618,Malappuram,22295,22799,109046
107303,480,393,2021-2-11,82,3121,Malappuram,23499,23979,110832
52155,1255,173,2020-11-12,194,6749,Malappuram,70030,71285,59086
26092,2046,100,2020-10-12,193,8924,Malappuram,49334,51380,35123
80172,1005,300,2020-12-21,66,5386,Malappuram,74332,75337,85868
,737,,2020-7-20,52,592,Malappuram,39223,39960,
,387,,2020-6-20,58,230,Malappuram,17072,17459,
,381,,2020-6-17,23,221,Malappuram,12861,13242,
,680,,2020-7-17,57,562,Malappuram,41338,42018,
,198,,2020-6-1,37,65,Malappuram,14045,14243,
,429,,2020-7-1,48,265,Malappuram,31931,32360,
,1709,,2020-8-19,192,2411,Malappuram,36993,38702,
60380,1390,215,2020-11-25,106,8094,Malappuram,83869,85259,68699
,0,,2020-3-2,2,0,Malappuram,6,6,
35680,1718,135,2020-10-25,232,11850,Malappuram,53370,55088,47673
11361,2477,45,2020-9-19,279,3633,Malappuram,31407,33884,15045
76989,1067,288,2020-12-16,158,5636,Malappuram,80544,81611,82923
,31,,2020-3-14,22,0,Malappuram,164,195,
,15,,2020-3-23,11,4,Malappuram,9279,9294,
,183,,2020-5-29,43,56,Malappuram,12800,12983,
,90,,2020-4-29,20,1,Malappuram,1464,1554,
,118,,2020-4-8,50,14,Malappuram,14018,14136,
,66,,2020-5-8,39,0,Malappuram,1131,1197,
55200,1140,192,2020-11-17,126,6776,Malappuram,75751,76891,62177
,269,,2020-6-4,42,89,Malappuram,16495,16764,
30338,1924,113,2020-10-17,221,9807,Malappuram,47272,49196,40266
,475,,2020-7-4,36,278,Malappuram,35569,36044,
81870,998,314,2020-12-24,122,5221,Malappuram,72105,73103,87415
,387,,2020-6-12,41,199,Malappuram,20560,20947,
,670,,2020-7-12,68,521,Malappuram,40427,41097,
,700,,2020-7-25,66,591,Malappuram,36623,37323,
,330,,2020-6-25,29,193,Malappuram,23636,23966,
94534,603,366,2021-1-18,60,4274,Malappuram,20193,20796,99186
108561,467,396,2021-2-14,81,3327,Malappuram,24053,24520,112299
101966,462,385,2021-2-2,97,3881,Malappuram,20608,21070,106246
,1472,,2020-8-14,179,1634,Malappuram,32291,33763,
9996,2138,38,2020-9-14,307,3177,Malappuram,29798,31936,13217
85606,882,338,2020-12-31,96,4866,Malappuram,65946,66828,90820
13075,2565,60,2020-9-23,201,3692,Malappuram,27021,29586,16833
4165,2157,18,2020-8-23,412,2960,Malappuram,40249,42406,7148
,857,,2020-8-2,180,907,Malappuram,31800,32657,
7214,1720,24,2020-9-2,185,2495,Malappuram,45436,47156,9739
,11,,2020-3-19,6,2,Malappuram,4701,4712,
46391,64178,159,2020-11-5,188,8207,Malappuram,1497,65675,54766
19988,2230,81,2020-10-5,168,6822,Malappuram,42817,45047,26898
87239,839,344,2021-1-3,90,4840,Malappuram,64548,65387,92433
93075,670,364,2021-1-15,70,4410,Malappuram,20190,20860,97861
41109,1666,146,2020-10-30,202,9867,Malappuram,58099,59765,51130
,420,,2020-6-9,70,169,Malappuram,18554,18974,
,506,,2020-7-9,77,431,Malappuram,39200,39706,
63997,1326,229,2020-11-30,133,7806,Malappuram,83913,85239,72042
67473,1317,242,2020-12-4,141,7682,Malappuram,84677,85994,75407
,703,,2020-7-28,99,594,Malappuram,34573,35276,
,391,,2020-6-28,55,224,Malappuram,27674,28065,
,131,,2020-4-13,18,10,Malappuram,12670,12801,
,55,,2020-5-13,43,6,Malappuram,2209,2264,
,125,,2020-5-24,38,49,Malappuram,10936,11061,
,94,,2020-4-24,42,2,Malappuram,2583,2677,
,156,,2020-4-5,61,11,Malappuram,16694,16850,
,28,,2020-5-5,24,0,Malappuram,1498,1526,
39292,853,106,2020-12-18,98,4962,Palakkad,11263,12116,44367
51055,544,171,2021-2-1,42,3854,Palakkad,9172,9716,55089
