isolation,hospitalized_today,district,observation,total_hospitalized,active
10461,12,Kasaragod,10721,260,130
8071,19,Kannur,8182,111,38
10863,1,Wayanad,10870,7,1
17794,6,Kozhikode,17824,30,7
14207,41,Malappuram,14291,84,16
16795,4,Palakkad,16825,30,7
15169,4,Thrissur,15193,24,6
2953,3,Ernakulam,2977,24,7
4364,0,Idukki,4372,8,3
2584,1,Kottayam,2585,1,0
7035,2,Alappuzha,7046,11,3
6732,4,Pathanamthitta,6748,16,8
7173,2,Kollam,7183,10,7
4820,27,Thiruvananthapuram,4934,114,5
129021,126,Total,129751,730,238
