isolation,district,hospitalized_today,recovered,active,deaths,observation,total_hospitalized,confirmed
7766,Kasaragod,61,20497,1861,75,8102,336,22437
20857,Kannur,59,30696,3028,161,21364,507,33891
9082,Wayanad,91,9900,1919,28,9915,833,11847
25665,Kozhikode,167,65772,5853,212,27200,1535,71845
86389,Malappuram,158,68496,7577,244,87633,1244,76327
14159,Palakkad,121,35138,5105,83,15195,1036,40330
24077,Thrissur,229,55270,6523,267,25841,1764,62067
28292,Ernakulam,113,59911,7937,242,29630,1338,68101
11200,Idukki,35,9930,2821,12,11615,415,12765
9626,Kottayam,215,32876,5172,116,11412,1786,38166
7930,Alappuzha,144,45004,3885,183,9185,1255,49090
9485,Pathanamthitta,111,18961,2560,19,10388,903,21541
13839,Kollam,90,45721,3360,181,14617,778,49272
31595,Thiruvananthapuram,127,69522,3792,567,32927,1332,73936
299962,Total,1721,567694,61393,2390,315024,15062,631615
