observation,district,hospitalized_today,total_hospitalized,isolation,active
10056,Kasaragod,1,216,9840,85
7797,Kannur,20,110,7687,43
9912,Wayanad,2,6,9906,1
17407,Kozhikode,6,28,17379,8
12801,Malappuram,18,131,12670,10
14787,Palakkad,9,33,14754,4
9754,Thrissur,3,11,9743,2
2063,Ernakulam,4,31,2032,7
3755,Idukki,2,5,3750,0
2278,Kottayam,0,0,2278,0
6566,Alappuzha,1,10,6556,3
6061,Pathanamthitta,2,18,6043,6
5399,Kollam,2,12,5387,7
3547,Thiruvananthapuram,16,104,3443,2
112183,Total,86,715,111468,178
