total_hospitalized,observation,isolation,hospitalized_today,district,active
112,7901,7789,9,Kasaragod,51
127,5767,5640,15,Kannur,47
5,7973,7968,0,Wayanad,1
31,11586,11555,7,Kozhikode,12
41,7833,7792,13,Malappuram,7
30,12077,12047,7,Palakkad,2
11,5701,5690,2,Thrissur,1
19,696,677,3,Ernakulam,2
1,2897,2896,1,Idukki,0
0,1363,1363,0,Kottayam,0
9,5341,5332,0,Alappuzha,2
16,4050,4034,2,Pathanamthitta,6
11,3640,3629,4,Kollam,5
113,2155,2042,21,Thiruvananthapuram,2
526,78980,78454,84,Total,138
