isolation,hospitalized_today,total_hospitalized,district,observation,active
6588,9,120,Kasaragod,6708,114
21500,52,320,Kannur,21820,179
3631,5,45,Wayanad,3676,43
18888,44,184,Kozhikode,19072,89
29506,22,354,Malappuram,29860,235
11066,14,292,Palakkad,11358,268
19151,23,186,Thrissur,19337,173
13541,13,218,Ernakulam,13759,174
4427,5,51,Idukki,4478,51
7696,7,117,Kottayam,7813,113
6841,13,201,Alappuzha,7042,161
5165,2,175,Pathanamthitta,5340,179
9363,14,208,Kollam,9571,181
20592,58,191,Thiruvananthapuram,20783,97
177955,281,2662,Total,180617,2057
