observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
4849,1084,Kasaragod,5745,38,2217,3765,8003,127
15239,988,Kannur,4774,36,2537,14251,7350,125
3082,573,Wayanad,1844,5,576,2509,2425,94
20820,3010,Kozhikode,7348,47,3287,17810,10687,484
32954,2474,Malappuram,11035,45,3425,30480,14511,345
8661,1523,Palakkad,5392,19,1936,7138,7348,224
11581,1552,Thrissur,5377,32,2596,10029,8007,232
23731,1923,Ernakulam,7395,51,3212,21808,10665,253
7545,508,Idukki,1975,3,661,7037,2640,93
19970,1948,Kottayam,4636,3,2485,18022,7124,157
11451,2342,Alappuzha,6655,19,2656,9109,9332,366
7313,1042,Pathanamthitta,4213,3,1204,6271,5421,122
23528,1653,Kollam,5566,36,2563,21875,8168,219
25538,4014,Thiruvananthapuram,18134,164,6372,21524,24700,441
216262,24634,Total,90089,501,35727,191628,126381,3282
