district,confirmed,hospitalized_today,deaths,active,observation,recovered,total_hospitalized,isolation
Kasaragod,25919,28,93,1752,6236,24069,255,5981
Kannur,45657,44,245,3407,12634,41986,495,12139
Wayanad,22023,129,66,3705,7060,18251,397,6663
Kozhikode,100841,64,368,6804,21836,93649,998,20838
Malappuram,102629,82,379,4094,20500,98143,601,19899
Palakkad,53538,33,166,5205,9431,48159,494,8937
Thrissur,84809,105,379,5185,22089,79234,908,21181
Ernakulam,102992,130,369,10473,28332,92127,1586,26746
Idukki,22014,27,31,4815,9120,17163,516,8604
Kottayam,64247,244,178,6753,15295,57310,1376,13919
Alappuzha,66021,150,289,3381,11788,62330,1110,10678
Pathanamthitta,41710,125,81,6699,14262,34922,1163,13099
Kollam,70606,83,255,4462,12610,65869,897,11713
Thiruvananthapuram,90633,122,725,3889,23018,85944,1320,21698
Total,893639,1366,3624,70624,214211,819156,12116,202095
