district,observation,isolation,total_hospitalized,hospitalized_today,
Thiruvananthapuram,32,30,2,0
Kollam,6,5,1,0
Pathanamthitta,1,1,0,2
Idukki,3,3,0,0
Kottayam,28,28,0,0
Alappuzha,6,6,0,2
Ernakulam,50,48,2,0
Thrissur,44,39,5,1
Palakkad,2,2,0,0
Malappuram,2,1,1,4
Kozhikode,8,7,1,0
Wayanad,0,0,0,0
Kannur,9,9,0,0
Kasaragod,15,14,1,0
Total,206,193,13,9
