active,hospitalized_today,total_hospitalized,confirmed,deaths,recovered,district,observation,isolation
3735,59,736,16623,64,12820,Kasaragod,4869,4133
5896,129,1052,19921,81,13941,Kannur,16746,15694
1191,119,758,5776,5,4580,Wayanad,4658,3900
10495,436,3505,37310,111,26698,Kozhikode,31731,28226
10398,188,1935,41665,116,31143,Malappuram,49033,47098
7305,195,1352,21016,46,13664,Palakkad,18615,17263
9301,309,2150,28002,74,18623,Thrissur,16390,14240
11706,300,2546,34511,106,22690,Ernakulam,32962,30416
1681,36,374,5899,7,4209,Idukki,12330,11956
6726,233,2091,18329,34,11569,Kottayam,17585,15494
6598,131,1721,24374,71,17693,Alappuzha,15048,13327
2908,162,978,12502,7,9586,Pathanamthitta,9330,8352
7048,181,1659,26079,86,18940,Kollam,20181,18522
10212,317,3683,49852,353,39243,Thiruvananthapuram,30758,27075
95200,2795,24540,341859,1161,245399,Total,280236,255696
