deaths,district,isolation,observation,recovered,confirmed,active,hospitalized_today,total_hospitalized
41,Kasaragod,3187,3948,7074,9413,2295,104,761
40,Kannur,13251,14323,6065,9461,3353,159,1072
5,Wayanad,2755,3386,2246,2955,704,57,631
61,Kozhikode,19257,22634,9688,14482,4728,335,3377
61,Malappuram,29356,31718,14176,18380,4137,313,2362
26,Palakkad,6274,8167,6560,9445,2858,279,1893
43,Thrissur,9263,11313,6917,10791,3828,301,2050
56,Ernakulam,21647,23957,9247,14127,4816,357,2310
3,Idukki,7855,8495,2358,3232,869,113,640
12,Kottayam,17045,19218,5724,8911,3175,214,2173
30,Alappuzha,9527,12597,8114,11919,3771,446,3070
4,Pathanamthitta,6690,7862,4998,6658,1655,167,1172
47,Kollam,18865,20718,6972,10988,3966,241,1853
206,Thiruvananthapuram,23293,27355,21192,30171,8740,324,4062
635,Total,188265,215691,111331,160933,48895,3410,27426
