observation,district,total_hospitalized,hospitalized_today,confirmed,recovered,active,isolation,deaths
4310,Kasaragod,209,11,24063,22372,1603,4101,84
12040,Kannur,451,42,39495,35787,3498,11589,201
9069,Wayanad,551,50,16758,13969,2740,8518,48
21021,Kozhikode,1039,88,85759,80030,5422,19982,292
67783,Malappuram,878,62,90432,85059,5030,66905,333
10046,Palakkad,600,62,47777,42753,4890,9446,127
21586,Thrissur,1209,183,74019,67707,5980,20377,324
30429,Ernakulam,1223,150,82932,74086,8531,29206,303
7782,Idukki,308,29,16342,13313,3009,7474,17
12361,Kottayam,1447,290,50767,43672,6941,10914,151
7029,Alappuzha,950,80,56904,52699,3948,6079,236
10604,Pathanamthitta,1121,91,29987,24022,5912,9483,51
11854,Kollam,934,118,59004,54072,4699,10920,218
21811,Thiruvananthapuram,1196,170,81479,77563,3191,20615,657
247725,Total,12116,1426,755718,687104,65394,235609,3042
