hospitalized_today,observation,total_hospitalized,district,isolation,active
40,10801,254,Kasaragod,10547,132
17,9403,92,Kannur,9311,49
2,12102,10,Wayanad,12092,1
9,20049,24,Kozhikode,20025,9
50,14136,118,Malappuram,14018,14
12,17454,36,Palakkad,17418,7
2,15716,36,Thrissur,15680,7
5,3090,29,Ernakulam,3061,14
0,4255,9,Idukki,4246,5
0,2552,3,Kottayam,2549,0
1,7661,15,Alappuzha,7646,3
6,7355,15,Pathanamthitta,7340,8
2,9237,16,Kollam,9221,6
23,6663,92,Thiruvananthapuram,6571,4
169,140474,749,Total,139725,259
