observation,deaths,confirmed,district,total_hospitalized,recovered,active,hospitalized_today,isolation
5905,93,26292,Kasaragod,251,24360,1833,19,5654
12955,248,46943,Kannur,520,42788,3887,77,12435
7219,67,22875,Wayanad,395,19014,3793,42,6824
21744,381,103359,Kozhikode,937,95998,6960,101,20807
20705,383,104371,Malappuram,498,100120,3854,74,20207
9350,166,54477,Palakkad,535,49488,4815,63,8815
22109,386,86645,Thrissur,942,81347,4900,119,21167
27198,380,106386,Ernakulam,1491,95250,10732,118,25707
9792,32,23084,Idukki,514,18205,4842,34,9278
16247,183,66547,Kottayam,1331,59283,7075,365,14916
12653,297,67715,Alappuzha,1173,63490,3905,128,11480
14314,86,43558,Pathanamthitta,968,37380,6084,94,13346
11944,261,73045,Kollam,864,67405,5359,106,11080
23515,741,92333,Thiruvananthapuram,1333,87316,4200,156,22182
215650,3704,917630,Total,11752,841444,72239,1496,203898
