total_hospitalized,observation,district,isolation,hospitalized_today,active
95,4313,Kasaragod,4218,4,98
203,16014,Kannur,15811,30,125
33,3392,Wayanad,3359,7,23
209,13698,Kozhikode,13489,42,104
387,17459,Malappuram,17072,58,230
159,9325,Palakkad,9166,18,135
168,14223,Thrissur,14055,8,126
162,12787,Ernakulam,12625,21,117
41,4160,Idukki,4119,6,36
68,7852,Kottayam,7784,7,80
124,6586,Alappuzha,6462,21,84
112,4768,Pathanamthitta,4656,14,119
133,7912,Kollam,7779,27,124
142,16853,Thiruvananthapuram,16711,25,49
2036,139342,Total,137306,288,1450
