total_hospitalized,district,isolation,observation,hospitalized_today,active
468,Kasaragod,4219,4687,45,506
478,Kannur,12953,13431,55,464
190,Wayanad,2678,2868,21,179
672,Kozhikode,11458,12130,123,522
845,Malappuram,36709,37554,111,707
384,Palakkad,10503,10887,93,324
469,Thrissur,12815,13284,96,415
814,Ernakulam,12318,13132,119,906
271,Idukki,4420,4691,67,289
327,Kottayam,9117,9444,81,371
750,Alappuzha,5793,6543,81,757
407,Pathanamthitta,4892,5299,65,455
736,Kollam,7764,8500,87,826
2486,Thiruvananthapuram,11831,14317,302,2650
9297,Total,147470,156767,1346,9371
