district,observation,isolation,total_hospitalized,hospitalized_today,active
Thiruvananthapuram,15922,15795,127,26,40
Kollam,7623,7509,114,15,100
Pathanamthitta,4713,4604,109,4,106
Idukki,4227,4190,37,2,33
Kottayam,7164,7107,57,4,69
Alappuzha,6431,6321,110,3,84
Ernakulam,12184,12032,152,17,102
Thrissur,12604,12417,187,22,131
Palakkad,9026,8871,155,15,127
Malappuram,14429,14056,373,16,223
Kozhikode,11716,11492,224,34,98
Wayanad,3420,3392,28,4,17
Kannur,14090,13893,197,20,136
Kasaragod,3682,3585,97,8,92
Total,127231,125264,1967,190,1358
