district,total_hospitalized,isolation,observation,hospitalized_today,active
Kasaragod,89,6812,6901,8,78
Kannur,426,22183,22609,42,226
Wayanad,40,3605,3645,1,31
Kozhikode,213,17685,17898,66,108
Malappuram,462,34342,34804,56,248
Palakkad,212,11271,11483,12,191
Thrissur,206,19000,19206,24,180
Ernakulam,241,12945,13186,26,186
Idukki,44,4367,4411,6,42
Kottayam,104,7481,7585,9,118
Alappuzha,229,6692,6921,16,196
Pathanamthitta,190,4800,4990,50,181
Kollam,205,9663,9868,16,204
Thiruvananthapuram,233,13271,13504,46,109
Total,2894,174117,177011,378,2098
