active,isolation,recovered,observation,district,total_hospitalized,confirmed,hospitalized_today,deaths
1868,6345,24971,6596,Kasaragod,251,26938,13,93
3991,12984,44738,13528,Kannur,544,49012,48,262
2933,6599,21158,6874,Wayanad,275,24163,44,71
6428,21744,101728,22530,Kozhikode,786,108583,89,406
3617,21032,104353,21529,Malappuram,497,108375,122,391
3702,9397,52403,9977,Palakkad,580,56286,49,172
4609,19983,85258,20893,Thrissur,910,90278,113,397
10377,24380,101688,25778,Ernakulam,1398,112483,147,392
4827,9375,19756,9853,Idukki,478,24623,38,35
5298,14652,64985,15781,Kottayam,1129,70476,218,187
3795,10849,66728,11934,Alappuzha,1085,70855,125,309
6594,15657,40807,16632,Pathanamthitta,975,47501,137,92
5465,10849,71555,11582,Kollam,733,77314,87,273
4039,24267,90592,25563,Thiruvananthapuram,1296,95476,165,768
67543,208113,890720,219050,Total,10937,962363,1395,3848
