observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
5939,1210,Kasaragod,4762,36,2117,4729,6918,60
13827,1564,Kannur,3743,35,1847,12263,5627,122
2768,464,Wayanad,1502,5,450,2304,1957,96
16924,2064,Kozhikode,5837,39,2062,14860,7943,273
39110,1866,Malappuram,9332,34,2675,37244,12047,249
8451,1004,Palakkad,4725,5,1160,7447,5891,198
11248,1275,Thrissur,4365,23,2029,9973,6419,195
23042,1830,Ernakulam,5647,45,2908,21212,8607,178
6243,358,Idukki,1718,3,425,5885,2147,60
19340,1660,Kottayam,3751,3,2078,17680,5832,219
9168,1700,Alappuzha,5569,19,1918,7468,7508,267
6275,1129,Pathanamthitta,3356,3,1236,5146,4596,141
17405,1719,Kollam,4283,26,2137,15686,6449,206
23516,3649,Thiruvananthapuram,15314,134,4838,19867,20313,425
203256,21492,Total,73904,410,27880,181764,102254,2689
