observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
6284,1161,Kasaragod,4507,35,2131,5123,6676,97
13120,1471,Kannur,3538,34,1521,11649,5095,249
2375,293,Wayanad,1477,5,328,2082,1810,25
16098,1841,Kozhikode,5554,38,1824,14257,7421,303
42284,1613,Malappuram,9102,26,2193,40671,11327,258
9830,723,Palakkad,4646,4,937,9107,5588,156
10957,1070,Thrissur,4177,19,1737,9887,5935,279
21324,1688,Ernakulam,5468,43,2567,19636,8085,137
5581,292,Idukki,1664,3,346,5289,2014,55
17967,1459,Kottayam,3556,3,1835,16508,5394,147
9120,1450,Alappuzha,5283,16,1740,7670,7041,217
6143,878,Pathanamthitta,3268,3,1096,5265,4368,159
18315,1446,Kollam,4158,26,1715,16869,5902,237
23403,3495,Thiruvananthapuram,14523,129,4582,19908,19261,432
202801,18880,Total,70921,384,24552,183921,95917,2751
