recovered,total_hospitalized,hospitalized_today,deaths,isolation,observation,active,district,confirmed
11503,941,37,64,3683,4624,3976,Kasaragod,15547
11753,1063,125,71,15059,16122,6206,Kannur,18033
4040,821,81,5,3589,4410,1165,Wayanad,5210
22609,3686,456,100,28496,32182,10459,Kozhikode,33174
28383,2095,214,109,47793,49888,8776,Malappuram,37275
12283,1540,140,40,16247,17787,6660,Palakkad,18984
15009,2424,270,63,12157,14581,9279,Thrissur,24355
18880,2485,188,101,30991,33476,11955,Ernakulam,30944
3838,459,40,6,13230,13689,1484,Idukki,5330
10712,1953,325,31,16126,18079,5734,Kottayam,16477
16150,2053,88,68,12423,14476,6050,Alappuzha,22276
8350,1073,84,6,7934,9007,3219,Pathanamthitta,11576
16021,1602,201,82,17787,19389,7806,Kollam,23914
35618,4149,270,320,27130,31279,11070,Thiruvananthapuram,47045
215149,26344,2519,1066,252645,278989,93839,Total,310140
