hospitalized_today,confirmed,total_hospitalized,district,observation,isolation,active,recovered,deaths
48,18349,529,Kasaragod,4741,4212,2290,15986,69
152,24115,1169,Kannur,19537,18368,5519,18487,105
62,6841,595,Wayanad,7465,6870,971,5859,11
286,46303,2779,Kozhikode,27223,24444,9212,36959,126
233,50369,1703,Malappuram,61156,59453,10215,40003,143
155,25365,1205,Palakkad,16883,15678,7356,17956,52
424,37552,2567,Thrissur,22505,19938,9733,27699,116
172,43957,2262,Ernakulam,32715,30453,12235,31572,141
43,7068,412,Idukki,11186,10774,2034,5023,9
273,22682,1996,Kottayam,19699,17703,6408,16229,44
546,31484,1895,Alappuzha,12436,10541,8224,23151,95
55,14809,1045,Pathanamthitta,10289,9244,2669,12129,10
122,32246,1477,Kollam,18010,16533,6389,25747,105
316,57344,2906,Thiruvananthapuram,28119,25213,8529,48366,403
2887,418484,22540,Total,291964,269424,91784,325166,1429
