district,observation,isolation,total_hospitalized,hospitalized_today,active
Thiruvananthapuram,14019,12500,1519,608,1515
Kollam,9057,8787,270,35,276
Pathanamthitta,4690,4338,352,82,426
Idukki,6232,6046,186,21,193
Kottayam,8770,8586,184,14,219
Alappuzha,6567,5969,598,21,578
Ernakulam,14822,14257,565,83,641
Thrissur,13635,13354,281,47,259
Palakkad,11939,11679,260,42,248
Malappuram,42018,41338,680,57,562
Kozhikode,14636,14272,364,66,311
Wayanad,3532,3396,136,22,131
Kannur,22298,21846,452,36,374
Kasaragod,6266,5989,277,18,296
Total,178481,172357,6124,1152,6029
