isolation,observation,total_hospitalized,deaths,recovered,district,confirmed,active,hospitalized_today
4013,4220,207,84,22434,Kasaragod,24159,1637,11
11171,11626,455,203,36009,Kannur,39797,3575,62
8500,9020,520,49,14267,Wayanad,16923,2606,37
20025,21033,1008,293,80744,Kozhikode,86279,5227,87
65946,66828,882,338,85606,Malappuram,90820,4866,96
9480,10056,576,133,42982,Palakkad,48002,4880,54
20924,22119,1195,329,68297,Thrissur,74534,5900,131
29334,30592,1258,305,74599,Ernakulam,83506,8590,147
7525,7828,303,19,13518,Idukki,16532,2992,38
10886,12386,1500,151,44056,Kottayam,51248,7038,201
6015,6988,973,237,53215,Alappuzha,57329,3856,88
9415,10640,1225,55,24443,Pathanamthitta,30499,5999,160
10567,11511,944,219,54414,Kollam,59406,4758,107
20252,21438,1186,657,77896,Thiruvananthapuram,81899,3278,156
234053,246285,12232,3072,692480,Total,760933,65202,1375
