total_hospitalized,district,isolation,hospitalized_today,observation,active
835,Kasaragod,4273,28,5108,888
543,Kannur,8536,46,9079,588
387,Wayanad,2374,29,2761,308
1348,Kozhikode,13372,249,14720,1482
1802,Malappuram,34431,184,36233,2305
868,Palakkad,12825,51,13693,930
623,Thrissur,8512,148,9135,598
1109,Ernakulam,13906,73,15015,1443
1390,Idukki,6157,86,7547,284
598,Kottayam,9604,107,10202,665
304,Pathanamthitta,4776,58,5080,313
765,Kollam,7349,81,8114,612
2860,Thiruvananthapuram,20287,286,23147,4124
265,Alappuzha,3930,29,4195,1350
13697,Total,150332,1455,164029,15890
