recovered,hospitalized_today,isolation,total_hospitalized,district,observation,active,confirmed,deaths
16288,35,4067,485,Kasaragod,4552,2277,18638,69
19346,94,18954,1018,Kannur,19972,5337,24793,106
6056,103,7339,624,Wayanad,7963,1007,7076,13
38707,327,23910,2539,Kozhikode,26449,9012,47859,134
42103,213,58464,1618,Malappuram,60082,9640,51899,148
18700,166,15004,1219,Palakkad,16223,7588,26343,54
29059,355,22034,2601,Thrissur,24635,10572,39760,125
33166,197,29897,2264,Ernakulam,32161,12419,45745,150
5407,44,10842,393,Idukki,11235,1783,7201,9
17979,202,17671,2015,Kottayam,19686,5605,23633,48
24444,1062,10288,2251,Alappuzha,12539,8237,32793,98
12533,119,9252,1098,Pathanamthitta,10350,2629,15175,12
26893,141,16161,1429,Kollam,17590,6462,33469,108
49643,271,25176,2827,Thiruvananthapuram,28003,8622,58721,410
340324,3329,269059,22381,Total,291440,91190,433105,1484
