isolation,district,hospitalized_today,recovered,active,deaths,observation,total_hospitalized,confirmed
7235,Kasaragod,1,20823,1730,78,7491,256,22635
20360,Kannur,45,31285,3020,164,20849,489,34475
10445,Wayanad,80,10255,2122,29,11240,795,12407
29215,Kozhikode,145,67363,5642,227,30650,1435,73240
84580,Malappuram,123,70931,7035,250,85772,1192,78226
13497,Palakkad,104,36241,4872,83,14527,1030,41201
22413,Thrissur,132,56803,6382,280,24020,1607,63472
25518,Ernakulam,103,61353,7767,250,26803,1285,69381
10460,Idukki,52,10185,2953,13,10837,377,13153
10794,Kottayam,104,34303,5020,125,12392,1598,39450
7717,Alappuzha,76,46145,3535,192,8932,1215,49890
9412,Pathanamthitta,96,19463,2614,19,10341,929,22097
13612,Kollam,82,46655,3410,186,14350,738,50261
30946,Thiruvananthapuram,130,70546,3630,576,32141,1195,74808
296204,Total,1273,582351,59732,2472,310345,14141,644696
