hospitalized_today,observation,total_hospitalized,district,isolation,active
3,3528,102,Kasaragod,3426,93
31,14015,189,Kannur,13826,132
3,3421,29,Wayanad,3392,16
34,11463,195,Kozhikode,11268,102
29,13043,385,Malappuram,12658,210
11,8980,172,Palakkad,8808,143
14,12282,202,Thrissur,12080,150
14,12114,119,Ernakulam,11995,95
3,3981,37,Idukki,3944,27
3,6557,56,Kottayam,6501,60
10,6232,115,Alappuzha,6117,100
16,4283,106,Pathanamthitta,4177,101
7,7350,108,Kollam,7242,86
32,14894,171,Thiruvananthapuram,14723,51
210,122143,1986,Total,120157,1366
