hospitalized_today,observation,district,isolation,total_hospitalized,active
6,1764,Kasaragod,1733,31,9
16,2683,Kannur,2579,104,47
4,820,Wayanad,807,13,0
15,1223,Kozhikode,1181,42,4
12,1524,Malappuram,1507,17,2
6,3158,Palakkad,3100,58,1
1,898,Thrissur,880,18,0
8,714,Ernakulam,698,16,1
3,1592,Idukki,1566,26,14
0,1393,Kottayam,1375,18,18
0,1366,Alappuzha,1365,1,0
0,139,Pathanamthitta,134,5,1
11,1373,Kollam,1350,23,12
13,2064,Thiruvananthapuram,2010,54,2
95,20711,Total,20285,426,111
