confirmed,hospitalized_today,isolation,district,total_hospitalized,active,deaths,observation,recovered
24239,16,3931,Kasaragod,221,1689,84,4152,22462
40063,58,11949,Kannur,444,3625,205,12393,36222
17097,40,8614,Wayanad,477,2566,49,9091,14481
86731,117,19928,Kozhikode,971,4969,296,20899,81451
91331,91,65640,Malappuram,891,4894,341,66531,86086
48228,41,8652,Palakkad,561,4860,133,9213,43228
74970,122,21153,Thrissur,1178,5698,329,22331,68934
84108,113,27816,Ernakulam,1244,8589,312,29060,75193
16639,43,7455,Idukki,318,2954,20,7773,13662
51725,221,11134,Kottayam,1362,7033,153,12496,44536
57693,125,5983,Alappuzha,1024,3826,238,7007,53608
30992,182,9408,Pathanamthitta,1206,6237,55,10614,24698
59823,93,10496,Kollam,929,4810,221,11425,54777
82285,122,19672,Thiruvananthapuram,1171,3304,659,20843,78253
765924,1384,231831,Total,11997,65054,3095,243828,697591
