observation,total_hospitalized,district,hospitalized_today,isolation,active
1149,186,Kasaragod,21,963,4
1773,39,Kannur,1,1734,3
2021,18,Wayanad,3,2003,8
3543,15,Kozhikode,13,3528,1
2094,37,Malappuram,31,2057,4
6314,33,Palakkad,4,6281,2
1775,21,Thrissur,0,1754,2
2191,45,Ernakulam,18,2146,3
1271,12,Idukki,0,1259,0
1291,0,Kottayam,0,1291,1
1710,8,Alappuzha,0,1702,0
1015,9,Pathanamthitta,0,1006,1
1219,5,Kollam,1,1214,3
4250,45,Thiruvananthapuram,3,4205,0
31616,473,Total,95,31143,32
