hospitalized_today,observation,recovered,deaths,district,confirmed,isolation,active,total_hospitalized
21,6681,19243,74,Kasaragod,21056,6293,1735,388
85,16780,27159,147,Kannur,30618,16132,3307,648
86,10995,8262,21,Wayanad,9468,10396,1185,599
206,24683,55742,177,Kozhikode,62981,22998,7055,1685
154,80775,57863,206,Malappuram,65364,79533,7286,1242
124,16620,29339,76,Palakkad,34790,15472,5372,1148
202,28419,46931,200,Thrissur,54522,26606,7386,1813
111,28374,51184,200,Ernakulam,60600,26807,9205,1567
58,15392,8018,11,Idukki,10237,14940,2206,452
256,19640,27857,82,Kottayam,31983,18143,4042,1497
165,12226,37121,140,Alappuzha,44031,10686,6753,1540
106,10205,16582,16,Pathanamthitta,18719,9474,2120,731
125,19703,40072,152,Kollam,44288,18318,4057,1385
147,27586,63064,520,Thiruvananthapuram,68784,25951,5152,1635
1846,318079,488437,2022,Total,557441,301749,66861,16330
