recovered,isolation,confirmed,observation,active,district,deaths,hospitalized_today,total_hospitalized
24307,5609,26172,5851,1766,Kasaragod,93,13,242
42605,12406,46594,12922,3722,Kannur,247,65,516
18808,6667,22702,7097,3826,Wayanad,67,35,430
95328,20636,102649,21599,6924,Kozhikode,377,115,963
99321,20142,103957,20666,4241,Malappuram,382,66,524
48667,8721,54218,9242,5377,Palakkad,166,51,521
80759,20896,86148,21816,4992,Thrissur,385,119,920
94539,25997,105521,27499,10581,Ernakulam,377,150,1502
17976,8983,22782,9512,4769,Idukki,32,47,529
58644,15228,65924,16603,7095,Kottayam,179,424,1375
63246,11507,67294,12645,3728,Alappuzha,297,114,1138
36962,13381,43111,14335,6056,Pathanamthitta,85,106,954
66944,11132,72371,11997,5146,Kollam,261,98,865
86940,21821,91919,23151,4169,Thiruvananthapuram,734,198,1330
835046,203126,911362,214935,72392,Total,3682,1601,11809
