district,observation,total_hospitalized,isolation,hospitalized_today,active
Kasaragod,5413,304,5109,28,360
Kannur,19064,427,18637,42,371
Wayanad,3296,177,3119,33,154
Kozhikode,12795,446,12349,80,352
Malappuram,40930,702,40228,32,577
Palakkad,11710,361,11349,120,339
Thrissur,13956,294,13662,31,306
Ernakulam,14829,714,14115,99,771
Idukki,6376,216,6160,32,257
Kottayam,9361,227,9134,20,241
Alappuzha,6232,642,5590,47,600
Pathanamthitta,4826,438,4388,38,452
Kollam,8320,355,7965,64,399
Thiruvananthapuram,13417,2006,11411,200,1884
Total,170525,7309,163216,866,7063
