district,observation,isolation,total_hospitalized,hospitalized_today,active
Thiruvananthapuram,13710,11225,2485,333,2421
Kollam,8153,7443,710,133,673
Pathanamthitta,4934,4470,464,55,488
Idukki,5129,4851,278,2,315
Kottayam,9543,9257,286,39,336
Alappuzha,6508,5831,677,49,719
Ernakulam,13806,12893,913,119,983
Thrissur,13710,13370,340,34,338
Palakkad,10986,10609,377,49,325
Malappuram,39128,38358,770,82,613
Kozhikode,12172,11588,584,115,455
Wayanad,3012,2813,199,22,180
Kannur,14064,13523,541,91,510
Kasaragod,4922,4515,407,41,462
Total,159777,150746,9031,1164,8818
