isolation,observation,hospitalized_today,confirmed,active,deaths,recovered,total_hospitalized,district
4147,4753,15,17959,2410,69,15476,606,Kasaragod
18147,19172,108,23190,5635,101,17450,1025,Kannur
6063,6623,62,6560,928,9,5623,560,Wayanad
25381,28124,247,44462,9098,125,35233,2743,Kozhikode
56027,57726,204,49232,11412,137,37675,1699,Malappuram
15967,17158,100,24547,7843,50,16653,1191,Palakkad
18173,20567,360,35551,9697,104,25746,2394,Thrissur
29905,32096,106,41905,11421,136,30339,2191,Ernakulam
10350,10752,24,6785,1908,8,4867,402,Idukki
17633,19454,121,21699,7495,44,14159,1821,Kottayam
11016,12568,457,29906,7385,90,22417,1552,Alappuzha
9114,10231,200,14279,2603,10,11665,1117,Pathanamthitta
14482,15844,90,30829,5883,104,24837,1362,Kollam
25158,28082,245,55770,8444,389,46892,2924,Thiruvananthapuram
261563,283150,2339,402674,92162,1376,309032,21587,Total
