hospitalized_today,observation,isolation,district,total_hospitalized,active
151,3982,3262,Kasaragod,720,796
25,9918,9531,Kannur,387,446
33,2864,2496,Wayanad,368,351
123,11880,11091,Kozhikode,789,762
180,32657,31800,Malappuram,857,907
59,10526,10066,Palakkad,460,420
53,13207,12702,Thrissur,505,484
100,12513,11384,Ernakulam,1129,978
24,4294,3965,Idukki,329,358
57,9663,9129,Kottayam,534,592
63,6505,5784,Alappuzha,721,689
124,3908,3431,Pathanamthitta,477,525
30,8548,7903,Kollam,645,562
341,15312,12629,Thiruvananthapuram,2683,3472
1363,145777,135173,Total,10604,11342
