deaths,isolation,active,confirmed,observation,recovered,district,hospitalized_today,total_hospitalized
78,7145,1691,22868,7422,21095,Kasaragod,36,277
172,22916,3020,35198,23454,32000,Kannur,77,538
30,11343,2188,12849,12009,10630,Wayanad,27,666
234,32014,5784,75100,33421,69073,Kozhikode,136,1407
266,85015,6965,80254,86079,73013,Malappuram,142,1064
95,13209,4728,42013,14148,37184,Palakkad,59,939
289,22733,5941,64648,24247,58411,Thrissur,126,1514
254,27155,7671,71062,28471,63126,Ernakulam,108,1316
13,9313,3012,13565,9673,10538,Idukki,54,360
128,11429,5320,40619,13058,35169,Kottayam,146,1629
196,7262,3590,50769,8397,46965,Alappuzha,106,1135
27,9074,2924,22930,10010,19978,Pathanamthitta,139,936
192,14232,3287,51260,14905,47770,Kollam,101,673
588,29262,3259,75548,30350,71641,Thiruvananthapuram,122,1088
2562,302102,59380,658683,315644,596593,Total,1379,13542
